flood,severity,location lat,location long,source,rainfall mm,river level m,wind speed kmh,temperature c,humidity percent,soil moisture percent,urban area,drainage index,available ambulance,available rescue teams,available medical kits,nearest hospital distance km,evacuation centres open
Yes,High,26.467367,68.046569,NGO Report,466.37,14.26,105.28,33.27,94.89,70.79,1,0.58,0,1,32,48.03,5
No,High,20.310538,91.73619,Local Authority,195.98,3.58,4.52,15.3,38.95,64.45,0,0.874,13,12,91,12.12,7
Yes,Extreme,8.162774,71.326999,IMD,15.21,12.04,4.29,28.49,96.09,60.34,1,0.922,11,11,37,34.52,9
No,High,28.13583,79.113701,NGO Report,14.07,2.43,80.41,44.56,91.19,94.98,1,0.815,2,12,39,45.46,3
Yes,Extreme,33.84724,86.877596,Citizen Report,439.43,6.72,30.51,22.78,54.32,49.97,1,0.088,1,12,169,43.3,1
No,High,27.106273,75.960744,Citizen Report,120.79,10.98,88.53,28.97,95.74,62.08,0,0.234,11,2,165,21.54,7
Yes,Extreme,11.57052,70.441894,Citizen Report,197.62,0.43,34.78,20.17,78.58,68.72,1,0.686,8,15,127,40.77,3
Yes,Extreme,16.868853,88.147549,NGO Report,431.55,9.01,41.78,18.57,50,12.16,1,0.649,10,12,51,48.69,9
Yes,Severe,19.776808,71.379376,NGO Report,393.23,10.47,101.07,29.7,87.18,64.92,0,0.047,3,10,43,35.1,9
Yes,Moderate,9.229075,74.260213,NGO Report,442.42,4.65,78.94,18.34,28.98,82.35,1,0.144,10,15,112,25.12,6
No,Severe,32.228752,83.881308,Citizen Report,392.01,6.59,17.69,17.96,92.15,25.57,0,0.789,20,5,64,15.39,3
No,Severe,20.395938,74.869689,IMD,256.14,10.32,87.26,24.67,20.91,71.18,1,0.264,3,3,36,35.96,9
Yes,Severe,9.820605,83.763479,Citizen Report,454.27,4.09,46.07,30.91,36.64,73.89,1,0.957,7,8,94,40.47,2
No,Extreme,15.770184,79.754613,Local Authority,287.68,7.13,141.45,20.72,44.93,24.47,0,0.653,1,2,124,40.22,2
No,Low,19.361767,86.308609,IMD,418.9,9.4,91.36,19.57,41.48,90.45,1,0.328,14,1,136,3.62,10
Yes,Severe,33.534952,85.067382,Citizen Report,55.1,9.09,119.42,19.68,82.51,78.93,0,0.124,2,3,99,33.88,5
No,Extreme,28.78028,85.385959,Satellite,404.14,4.7,76.36,23.23,80.05,36.65,0,0.513,12,4,27,6.76,2
No,Low,31.135547,74.263192,IMD,66.96,12.22,76.05,42.45,20.36,33.77,1,0.851,11,2,33,13.1,5
Yes,Severe,17.397684,72.651805,Citizen Report,178.26,3.69,109.94,38.94,32.34,26.03,0,0.623,1,4,138,31.39,3
Yes,Severe,12.106725,71.998573,Satellite,151.23,7.44,37.37,43.73,44.76,69.82,0,0.09,7,2,24,42.55,9
Yes,Moderate,21.577492,68.76183,Local Authority,71.78,8.58,80.9,41.67,79.21,60.37,1,0.29,14,15,43,2.74,7
No,Severe,20.465355,78.536512,Local Authority,93.23,14.51,5.86,33.71,94.17,68.9,0,0.125,6,2,171,4.7,1
Yes,Moderate,19.354308,69.099868,Local Authority,288.44,7.42,113.86,34.43,66.17,30.77,0,0.318,4,6,44,14.94,2
No,High,35.157327,68.072895,Citizen Report,16.5,4.33,148.5,23.68,21.86,49.17,0,0.897,9,5,185,1.2,4
Yes,Low,19.072902,75.665504,Citizen Report,81.57,9.85,77.26,19.28,32.14,75.83,1,0.808,2,0,6,15.25,0
Yes,Extreme,8.327303,96.594062,Local Authority,55.08,12.58,16.81,17.04,50.28,34.78,1,0.983,5,5,60,39.34,5
No,Moderate,10.099915,84.301243,IMD,51.79,12.93,148.22,11.28,55.09,87.66,0,0.23,2,4,200,39.91,1
No,Extreme,27.985262,89.263023,IMD,119.46,13.06,13.3,12.29,84.37,38.04,0,0.799,13,13,70,3.63,8
No,Severe,23.963421,69.979925,Local Authority,70.76,1.24,14.3,21.22,66.58,82.93,0,0.301,6,2,94,33.03,10
Yes,Severe,31.713029,87.545772,Local Authority,352.63,2.77,10.39,12.88,63.68,81.7,1,0.595,7,0,25,13.99,3
No,Extreme,8.131467,77.681084,Citizen Report,347.2,1.08,101.09,44.54,34.72,78.06,0,0.57,5,8,84,49.36,2
No,High,36.856752,85.245621,Satellite,111.39,0.12,91.48,17.2,27.09,87.46,1,0.716,18,15,112,41.06,6
Yes,High,8.847844,75.091363,Satellite,211.09,14.28,43.47,44.78,20.18,30.94,1,0.008,13,3,89,48.16,4
Yes,Moderate,26.715955,80.06395,Local Authority,375.57,3.79,40.23,39.4,60.7,68.27,0,0.394,8,14,45,28.56,3
No,Extreme,9.811691,94.620959,NGO Report,77.02,10.06,8.82,15.02,23.59,20.68,1,0.912,16,7,34,27.8,8
No,Moderate,36.025654,95.219851,IMD,318.77,1.01,87.13,34.36,43.63,93.94,0,0.456,18,13,162,13.42,8
Yes,Low,29.730231,73.799319,Satellite,364.01,9.29,5.58,41.79,59.91,10.93,1,0.977,16,2,90,16.07,1
No,Extreme,9.146473,94.497488,Local Authority,373.78,6.07,145.55,14.31,74.61,91.71,1,0.605,9,0,78,17.96,9
No,Severe,28.164195,74.849247,IMD,275.56,4.23,138.18,33.67,37.2,67.7,0,0.063,13,1,6,11,10
No,High,26.354124,91.808293,Satellite,454.02,9.75,103.16,12.19,40.21,68.07,1,0.007,16,1,131,31.66,3
Yes,Moderate,14.647617,83.466164,Satellite,307.43,1.56,117.11,22.5,48.99,14.4,0,0.81,16,10,85,0.94,0
Yes,Moderate,19.813951,96.285488,IMD,301.45,5.03,88.27,21.19,34.52,73.6,0,0.568,8,6,152,20.42,10
No,Moderate,14.936628,87.396973,Local Authority,7.8,7.23,92.89,10.66,21.21,61.86,0,0.708,12,1,25,39.89,6
No,High,13.696546,80.565495,Citizen Report,395.08,10.76,17.2,11.49,28.24,62.02,1,0.596,6,5,115,40.11,8
No,Severe,11.94779,90.813837,IMD,74.56,4.2,138.76,32.41,51.02,54.13,1,0.484,5,8,109,35.51,10
Yes,Low,8.351943,83.964178,NGO Report,411.44,2.13,136.5,34.58,66.13,89.89,0,0.712,14,4,145,28.07,0
No,Severe,28.174209,69.172874,Satellite,275.27,4.82,10.44,12.2,24.32,66.9,0,0.306,9,10,11,49.71,3
No,High,20.821241,87.32267,NGO Report,189.06,9.86,64.43,18.15,78.92,98.98,0,0.313,5,15,164,12.77,0
Yes,High,11.229504,78.434171,Local Authority,188.8,14.68,111.09,19.22,33.51,56.43,1,0.876,8,14,125,42.27,10
Yes,Extreme,9.796592,73.945759,IMD,82.2,1.18,7.95,31.74,61.54,99.92,1,0.359,14,7,66,5.84,0
Yes,Extreme,13.318916,82.453644,Satellite,170.02,1.65,17.55,21.13,53.26,67.67,1,0.824,2,13,104,32.98,6
Yes,Low,30.346693,74.748352,Citizen Report,232.88,7.44,51.75,28.14,46.85,24.5,0,0.937,19,4,72,33.26,2
No,High,22.100242,95.652331,IMD,452.27,11.86,32.09,29.98,58.84,31.24,0,0.723,14,2,155,33.48,9
No,Extreme,10.573072,84.715799,NGO Report,441.62,10.74,66.11,20.27,28.79,28.67,1,0.821,18,6,12,15.75,2
Yes,High,18.508298,76.237744,Citizen Report,252.49,6.67,23,27.99,96.13,84.72,1,0.743,12,0,81,1.49,4
No,Moderate,26.580167,96.870552,NGO Report,459.29,5.58,47.87,35.61,22,30.32,1,0.006,6,9,116,16.24,10
No,High,10.72952,82.05108,IMD,176.12,1.82,128.18,38.73,88.62,10.69,1,0.183,5,10,53,5.46,10
Yes,Moderate,35.035008,71.240844,NGO Report,238.35,11.32,12.14,29.75,78.04,57.3,1,0.119,4,11,185,35.97,3
Yes,Extreme,9.640633,69.119435,Citizen Report,152.88,10.65,4.84,23.52,23.89,62.84,1,0.169,7,2,147,38.39,4
Yes,Severe,36.526458,83.26353,Satellite,285.68,11.99,134.78,29.86,41.7,37.77,1,0.736,5,0,64,30.35,1
No,High,21.211881,72.60107,Citizen Report,313.29,8,109.5,29.15,83.19,22.13,1,0.344,16,2,104,39.17,3
No,Low,31.490926,94.358403,Citizen Report,181.24,12.28,10.44,38.22,73.44,77.81,1,0.834,2,7,102,3.74,3
No,Severe,21.553407,85.795161,Satellite,177.28,9.85,17.05,26.74,41.35,87.31,1,0.853,13,1,122,46.46,4
No,High,30.131498,77.563976,Satellite,397.44,7.33,18.27,40.87,29.38,25.3,1,0.556,17,4,52,22.13,7
No,Severe,22.411936,68.215224,Citizen Report,475.5,7.14,42.57,11.16,83.41,49.79,1,0.583,10,8,37,41.78,0
No,Low,13.211009,79.769596,IMD,10.78,7.93,122.83,10.67,62.59,39.9,0,0.822,18,8,41,23.56,5
Yes,High,8.897109,79.118023,IMD,297.51,8.71,13.97,18.24,24.32,17.88,0,0.293,2,11,45,16.82,4
Yes,Low,17.238722,82.675949,Satellite,134.15,3.12,125.43,27.35,72.34,46.05,0,0.704,17,7,101,44.88,10
No,Moderate,18.634796,91.815505,IMD,255.91,1.65,123.41,21.83,27.34,94.23,1,0.079,6,3,63,3.57,9
Yes,Severe,13.247075,94.812274,Local Authority,462.75,0.86,48.11,15.67,77.01,40.58,1,0.538,10,15,154,17.4,3
Yes,Extreme,29.936911,96.529497,Satellite,94.91,5.45,126.79,25.38,70.15,83.8,0,0.794,17,8,118,48.09,3
Yes,Low,31.096532,74.000003,Local Authority,64.24,10.49,64.58,20.84,61.16,49.5,1,0.298,18,7,189,33.68,6
Yes,Low,28.763736,88.858823,IMD,274.87,2.4,39.37,42.23,46.01,80.77,1,0.031,3,2,179,22.5,5
Yes,Severe,20.095974,95.101662,Citizen Report,300.38,0.05,116.92,30.36,37.56,75.54,0,0.537,16,4,129,38.97,6
Yes,High,31.262131,74.676408,Local Authority,230.49,14.49,6.02,42.52,56.74,59.07,1,0.054,1,7,122,21.88,5
Yes,Severe,8.01895,92.778127,NGO Report,127.17,13.27,103.89,23.66,86.25,56.47,0,0.933,7,14,46,36.8,3
No,High,29.551307,87.232531,NGO Report,227.59,10.76,43.81,30.01,33.07,18.78,1,0.097,11,6,76,48.39,3
Yes,High,21.316873,78.396892,NGO Report,2.5,3.92,45.55,14.47,91.69,39.48,1,0.84,15,14,25,24.23,2
No,Severe,28.744098,73.269377,Satellite,13.62,9.76,113.33,24.04,73.41,50.72,0,0.124,10,13,78,42.77,10
Yes,Moderate,29.924568,83.298355,Citizen Report,222.46,13.7,19.46,27.99,90.28,47.91,1,0.838,19,11,4,21.11,4
No,Severe,17.625081,68.53571,NGO Report,102.49,5.37,71.05,26.78,92.79,30.73,0,0.707,20,9,67,15.47,10
Yes,Severe,19.260689,92.685194,Satellite,223.55,10.38,46.6,13.42,68.66,36.55,1,0.818,6,6,179,40.73,0
No,Low,35.18529,86.951731,NGO Report,183.48,6.31,128.88,19.88,24.35,76.54,1,0.513,5,11,151,39.36,10
Yes,Moderate,14.048939,93.826519,Citizen Report,241.82,1.65,48.78,15.72,74.5,86.96,0,0.847,10,11,13,46.43,5
Yes,Severe,33.73884,95.52363,NGO Report,40.59,8.63,54.78,35.1,74.06,24.53,0,0.467,1,2,88,23.99,5
Yes,Low,35.446636,87.760475,Citizen Report,62.47,1.53,30.23,22.9,28.94,41.15,0,0.513,8,10,11,8.06,7
Yes,Moderate,10.99102,95.198212,Citizen Report,182.01,1.49,103.85,40.61,38.4,94.67,1,0.963,17,7,2,3.35,6
Yes,Severe,34.545362,92.980936,NGO Report,359.11,10.79,65.79,26.61,41.92,15.19,1,0.71,20,13,117,47.87,6
No,Moderate,21.894797,82.008117,NGO Report,53.12,13.11,55.12,21.89,83.59,18.5,1,0.122,6,15,66,39.63,3
Yes,Low,33.781983,75.282563,IMD,338.08,8.08,106,42.01,55.18,23.77,1,0.021,10,0,48,44.73,5
Yes,Extreme,10.710188,95.697114,Local Authority,250.62,13.09,7.72,29.46,69.59,74.09,1,0.951,7,14,191,43.04,6
Yes,High,9.487307,89.008538,Satellite,2.77,0.17,149.69,12.45,41.29,25.66,0,0.963,5,1,188,5.18,5
Yes,Extreme,20.218111,89.918418,IMD,398.67,14.17,119.36,41.2,97.45,98.78,0,0.301,13,12,126,9.92,2
No,Moderate,34.782875,75.111733,IMD,160.9,2.78,42.39,31.04,79.16,82.46,0,0.401,11,2,58,20.45,4
No,Low,27.874297,72.312944,Citizen Report,461.38,8.66,54,40.48,59.43,44.75,1,0.901,16,3,68,15.5,6
Yes,Extreme,30.328789,70.923633,Local Authority,341.39,4.63,117.76,41.51,92.29,57.81,0,0.768,4,9,188,4.57,0
No,High,25.275631,77.910338,IMD,299.79,14.67,14.77,20.42,87.16,50.58,1,0.366,3,7,158,35.51,5
No,Extreme,27.368909,80.597114,Local Authority,227.42,14.01,10.21,42.97,57.78,88.43,0,0.332,5,2,152,28.15,3
No,Low,11.409718,72.136225,Citizen Report,302.32,5.89,80.56,20.05,54.84,54.12,1,0.947,7,10,152,47,6
Yes,Extreme,12.627349,72.758771,Local Authority,317.55,9.23,62.31,28.12,32.97,41.1,0,0.551,11,9,131,24.31,0
No,High,13.525072,83.383895,IMD,356.74,8.26,12.87,18.13,29.44,41.15,0,0.46,8,14,33,34.34,4
No,Moderate,30.198966,73.496548,Citizen Report,54.11,1.72,84.52,38.01,63.61,88.79,0,0.723,14,9,191,44.92,7
Yes,Severe,17.247402,90.61617,Local Authority,340.29,0.49,9.05,24.25,55.96,47.19,0,0.42,12,2,46,6.84,3
Yes,High,31.286614,77.189996,Citizen Report,38.62,3.88,86.63,25.49,92.08,32.84,1,0.044,1,3,45,3.31,6
Yes,Severe,23.075452,77.250954,Local Authority,87.57,4.25,124.2,36.11,73.93,60.71,0,0.949,1,1,149,33.54,8
Yes,Moderate,8.57256,77.504829,Citizen Report,283.26,2.9,103.8,34.03,29.54,82.72,0,0.579,14,4,98,36.56,7
Yes,Extreme,17.805835,69.418367,Local Authority,57.72,2.22,125.27,26.24,94.35,15.67,0,0.144,7,9,91,20.76,9
Yes,Severe,35.724963,90.672944,NGO Report,477.73,9.36,117.53,30.66,29.47,47.03,1,0.055,8,3,47,6.51,7
No,Severe,36.782484,84.853643,Citizen Report,400.41,1.74,75.25,30.59,38.53,37.25,0,0.109,7,12,191,47.11,7
No,Severe,11.394803,84.510513,NGO Report,423.64,14.06,55.84,40.61,52.75,36.71,1,0.917,9,15,76,18.99,0
Yes,Extreme,12.726141,77.179208,Satellite,334.87,12.18,122.92,40.24,39.75,86.54,1,0.531,15,5,136,26.65,5
No,Moderate,10.040259,71.887606,Citizen Report,256.98,14.46,45.17,30.11,94.99,75.46,1,0.245,13,15,196,0.54,8
Yes,Extreme,10.325727,96.264318,Citizen Report,401.98,7.48,96.16,23.2,46.5,18.2,0,0.094,17,0,95,28.47,7
No,Severe,28.257651,89.770372,IMD,92.95,5.74,98.07,43.08,58.67,76.99,0,0.182,3,2,12,35.51,7
Yes,Moderate,28.641851,88.556885,IMD,120.96,4.22,70.28,32.41,20.62,65.99,1,0.88,19,7,179,45.1,1
No,Moderate,9.720356,84.084584,Local Authority,183.22,13.36,1.16,27.31,99.91,23.03,1,0.34,2,1,120,45.99,5
No,High,36.690108,77.758371,IMD,95.61,3,92.29,10.42,49.82,25.42,0,0.202,0,5,198,39.77,2
No,Extreme,21.697216,95.801061,NGO Report,135.28,7.75,81.02,13.75,53.58,57.31,0,0.433,2,8,82,18.73,7
No,High,15.827054,70.125829,IMD,172,5.33,86.42,38.72,79.95,21.73,0,0.562,1,12,118,11.25,0
No,High,36.57942,68.654818,NGO Report,275.71,14.49,23.35,43.25,95.26,19.07,0,0.606,1,1,188,9.43,5
Yes,High,15.899959,73.870703,NGO Report,215.53,12.92,81.22,22.25,79.13,52.52,1,0.362,15,7,94,49.13,5
No,Extreme,10.995679,92.33432,Satellite,129,8.89,138.97,12.32,98.01,65.24,0,0.234,6,5,154,44.92,10
Yes,Moderate,22.906885,72.967553,Local Authority,164.7,7.12,7.55,41.49,68.94,67.12,1,0.438,3,1,109,14.4,1
No,Extreme,26.248838,76.94746,IMD,370.05,4.89,66.57,27.22,79.59,65.21,1,0.061,13,0,44,24.05,2
Yes,Low,21.215134,71.310863,IMD,365.68,12.93,100.21,21.65,22.42,67.57,0,0.078,20,9,28,18.46,3
No,Severe,33.8539,77.850035,NGO Report,479.35,4.86,14.35,13.14,54.85,23.43,1,0.651,10,8,7,43.2,9
Yes,High,29.054802,74.572015,Satellite,331.58,2.07,12.05,28.72,48.38,12.24,1,0.643,8,9,154,36.73,5
No,Extreme,31.40523,75.371355,NGO Report,223.31,9.1,108.56,25.79,29.79,98.49,0,0.54,19,7,182,18.11,10
Yes,Severe,28.784457,83.561367,NGO Report,418.01,4.25,99.61,11.54,94.73,63.36,0,0.415,2,13,156,26,5
Yes,Extreme,20.135128,85.840576,Satellite,277.94,5.51,139.54,35.88,71.29,94.43,0,0.298,13,5,125,27.8,3
Yes,Extreme,13.389658,70.000248,Satellite,332.81,11.75,63.93,25.4,79.44,41.61,1,0.929,2,13,65,33.54,6
No,Low,26.148687,79.886106,NGO Report,378.26,13.14,98.11,34.57,35.64,59.25,0,0.28,15,1,40,6.51,1
Yes,Extreme,33.362064,88.32596,Local Authority,339.39,14.86,29.24,44.4,43.08,81.61,1,0.82,1,10,123,7.41,8
No,Severe,35.780985,76.282812,Local Authority,122.43,1.25,8.69,32.02,67.88,93.65,0,0.239,8,2,151,36.64,5
Yes,Extreme,22.342976,76.505737,Local Authority,354.39,14.1,126.96,27.7,91.18,88.07,1,0.915,8,3,33,36.37,3
No,High,20.697129,90.297969,NGO Report,390.38,4.77,136.97,42.49,99.15,95.59,1,0.6,6,5,89,46.75,8
No,Moderate,13.526609,69.192594,Local Authority,468.45,4.69,117.42,24.95,94.32,49.6,1,0.518,17,12,111,12.51,3
No,Moderate,15.836835,77.266895,Satellite,443.74,6.87,99.55,42.4,62.96,81.61,1,0.379,12,13,157,31.72,6
No,Extreme,20.807756,86.468606,Citizen Report,55.19,13.24,13.79,33.54,73.35,51.64,0,0.657,0,2,51,25.37,3
No,Moderate,28.131755,81.157065,Local Authority,246.99,6.01,28.37,40.8,53.52,77.95,1,0.974,17,8,145,3.65,0
No,Moderate,25.250443,95.635447,Satellite,336.45,6.54,143.22,23.9,67.12,56.63,1,0.5,6,1,125,8.5,5
No,Severe,14.709364,68.192078,Local Authority,147.14,8.57,93.68,15.96,28.81,45.61,0,0.592,8,7,82,5.62,0
No,Extreme,22.43775,78.070254,Local Authority,116.57,2.47,97.06,36.91,68.12,62.26,0,0.354,20,8,9,7.49,1
No,Severe,36.39007,81.588475,Citizen Report,441,5.64,10.6,20.58,80.77,86.44,0,0.326,5,0,9,24.84,5
Yes,Low,19.565898,90.293392,NGO Report,462.89,0.86,132.2,19.45,32.49,76.86,0,0.124,18,14,35,36.9,1
No,Severe,8.743661,86.296987,Local Authority,130.55,1.11,60.99,20.72,27.31,52.91,0,0.769,6,9,56,3.36,4
No,Moderate,8.875955,95.768938,IMD,367.5,0.6,102.13,35.68,83.16,15.86,1,0.534,3,6,179,27.5,0
No,Moderate,27.225134,71.779045,Local Authority,270.48,1.68,18.77,43.81,54.21,26.07,1,0.166,9,1,5,33.8,8
No,High,14.912224,91.937069,Satellite,113.71,10.03,102.37,37.15,53.23,99.23,0,0.588,10,12,184,44.92,10
Yes,Low,16.146712,79.582425,NGO Report,411.41,12.46,61.34,39.67,63.12,30.94,0,0.99,10,3,186,43.74,5
Yes,Severe,15.825314,95.549166,Local Authority,114.75,0.17,108.68,23.61,87.85,54.71,1,0.921,18,5,85,27.02,10
Yes,Moderate,25.927748,79.223842,NGO Report,6.46,5.08,129.28,21.08,49.72,24.92,0,0.684,19,14,45,46.26,4
No,Low,29.844535,71.868798,Satellite,265.9,8.82,30.7,13.42,48.45,13.5,0,0.18,6,12,149,48.71,10
Yes,Low,28.198087,71.231605,Satellite,18.63,4.52,141.53,44.14,62.03,74.69,1,0.857,19,5,25,18.33,9
Yes,Severe,24.051702,76.532232,NGO Report,377.6,8.57,66.49,33.79,86.52,28.4,1,0.922,19,12,31,0.75,1
Yes,Low,13.289682,78.464258,IMD,106.55,9.28,50.87,28.12,79.31,39.88,0,0.777,8,6,35,5.98,7
No,High,24.969577,71.352828,Satellite,334.67,9.81,93.83,26.71,24.65,32.89,0,0.282,15,15,13,49.22,6
Yes,High,26.827201,82.335992,Satellite,196.17,9.66,100.64,16.86,93.51,66.85,1,0.036,15,5,60,35.93,9
Yes,Moderate,17.489483,95.815446,Citizen Report,64.83,4.11,102.46,13.74,93.64,13.4,1,0.472,17,10,117,40.98,2
No,Low,13.824206,81.146975,Citizen Report,96.15,10.31,65.73,12.21,46.95,68.46,0,0.142,8,13,195,18.27,2
No,High,8.801622,68.502774,IMD,128.31,12.95,123.27,15.08,85.19,15,0,0.822,2,10,127,39.88,2
No,Extreme,29.05836,72.501043,Local Authority,60.69,5.59,142.92,13.22,35.44,81.6,1,0.762,12,10,196,17.52,10
Yes,Moderate,13.066461,83.308796,Local Authority,385.57,2.18,145.07,34.22,21.52,85.01,1,0.487,8,2,177,29.33,5
No,High,10.836357,84.36218,Citizen Report,74.73,7.01,44.22,29.22,39.23,34.04,1,0.991,15,0,37,30.69,9
Yes,Extreme,35.678927,95.258816,Citizen Report,300.63,13.92,119.83,43.23,79.42,52.09,0,0.635,20,5,85,14.58,5
No,Low,24.736772,72.190208,Citizen Report,28.34,1.35,55.42,23.81,42.28,24.11,1,0.352,5,15,98,9.4,0
Yes,High,27.800594,74.152305,Local Authority,368.74,11.39,52.82,35.45,82.81,71.95,0,0.472,20,8,164,30.97,1
Yes,Extreme,13.901642,76.82653,NGO Report,449.04,14.28,68.59,11.3,66.96,12.1,1,0.564,1,7,155,25.63,6
No,Extreme,14.59839,79.340772,Local Authority,104.79,13.19,32.78,35.32,26.6,97.83,1,0.054,17,1,16,4.57,8
Yes,Low,24.778676,90.9022,Satellite,408.09,5.6,32.41,31.22,27.49,58.82,1,0.566,13,15,154,11.71,10
Yes,Extreme,23.641631,79.021411,IMD,312.2,6.82,56.64,16.62,27.66,10.23,0,0.342,9,2,69,8.52,1
Yes,Moderate,31.826058,89.165474,NGO Report,216.4,6.63,97.61,13.28,89.37,18.19,1,0.324,6,2,196,18.59,5
No,High,19.459114,72.157309,Citizen Report,173.69,11.07,86.25,19.95,68.41,64.25,1,0.707,13,12,177,11.68,3
Yes,Severe,30.240938,94.734476,NGO Report,329.17,2.95,81.78,26.02,48.42,43.45,0,0.456,12,15,106,46.57,1
No,Extreme,34.613173,84.105628,NGO Report,387.33,4.05,19.48,13.75,53.88,46.73,0,0.387,12,12,153,26.48,3
Yes,High,30.267191,69.398664,Local Authority,204.97,0.4,106.42,11.81,60.23,44.36,0,0.437,3,8,147,25.55,4
Yes,Low,14.809169,85.207582,Local Authority,399.18,1,16.62,10.36,90.03,34.51,1,0.679,17,11,155,1.93,5
No,High,22.881271,82.549441,Citizen Report,110.17,12.87,127.49,19.05,66.48,39.32,1,0.425,6,13,17,36.35,6
Yes,Moderate,16.865613,73.373481,NGO Report,110.27,4.11,23.6,14.57,32.45,56.68,0,0.484,12,5,89,27.22,8
No,Extreme,24.53359,85.286499,NGO Report,286.92,6.11,7.89,35.94,74.32,55.96,0,0.929,3,12,192,26.41,8
No,High,25.981692,90.76657,Satellite,221.92,8.79,118.36,17.65,48.72,47.44,0,0.735,11,3,181,23.7,1
Yes,Extreme,18.865456,80.064525,Citizen Report,69.7,12.2,131.11,37.24,42.04,69.63,1,0.303,14,10,195,23.13,10
No,Low,30.007329,85.8085,Satellite,116.37,14.01,96.2,18.22,35.54,91.69,1,0.156,8,7,50,6.08,5
No,Moderate,16.649428,92.255051,NGO Report,331.34,6.42,82.86,26.01,32.93,27.81,0,0.465,1,4,189,48.38,10
Yes,Low,19.837291,68.473727,IMD,154.19,12.14,32.56,13.81,64.52,89.02,0,0.486,17,8,173,45.38,3
No,High,19.461857,68.152028,Citizen Report,116.3,3.83,136.96,13.57,55.15,32.37,1,0.378,15,15,118,32.19,2
No,Severe,29.351871,88.708793,NGO Report,495.97,5.18,40.48,35.33,39.13,19.62,1,0.061,20,14,55,43.73,1
Yes,Low,19.267255,81.709321,IMD,59.96,12.13,103.91,23.04,85.41,75.23,0,0.261,4,8,74,28.64,9
No,High,10.488874,81.31889,Satellite,208.65,13.25,46.38,17.66,78.89,63.44,0,0.176,14,15,195,45.53,0
Yes,Low,35.959003,88.763006,Satellite,177.98,7.2,66.86,12.11,41.71,59.77,1,0.25,1,9,126,35.99,3
No,Moderate,18.195286,84.165457,Citizen Report,3.29,9.36,83.05,14.24,88.91,14.85,1,0.855,19,8,144,32.26,3
No,High,32.814906,93.455057,Citizen Report,258.56,2.16,116.23,40.54,35.43,92.57,0,0.884,8,15,107,9.53,5
No,Moderate,11.801228,74.771349,NGO Report,76.62,0.88,91.22,22.38,54.38,48.02,0,0.914,4,4,67,29.17,9
No,High,20.802917,73.502247,Local Authority,312.5,3.09,98.79,32.6,61.26,84.69,1,0.128,2,14,168,5.52,8
Yes,Severe,13.363373,96.854382,Citizen Report,400.21,5.87,13.75,25.09,91.97,42.46,1,0.493,15,5,64,23.69,5
Yes,Low,16.340081,68.810113,Local Authority,422.21,1.84,15.34,40,57.77,86.32,0,0.543,16,11,1,39.07,4
No,Extreme,11.013947,94.158129,Local Authority,349.94,8.84,68.98,36.27,79.55,95.89,0,0.768,16,1,157,2.94,4
No,Extreme,31.626073,79.038105,IMD,56.94,11.39,100.11,39.79,82.14,60.1,0,0.943,7,7,91,37.71,9
Yes,Extreme,28.514307,81.864763,NGO Report,367.87,12.96,46.5,32.59,85.23,18.01,0,0.824,0,1,144,18.33,2
No,Low,15.337934,89.103198,Local Authority,280.57,10.52,133.36,23.22,31.86,20.41,0,0.633,19,14,194,3.59,5
No,Moderate,11.062398,87.990355,Satellite,354.11,6.64,46.47,19.68,70.89,33.72,1,0.014,9,0,105,45.33,5
Yes,Moderate,9.726096,72.580993,IMD,165.5,8.05,64.98,16.56,83.33,70.41,1,0.051,10,1,61,12.33,8
No,Moderate,25.058325,96.922561,Local Authority,491.88,10.41,84.88,40.28,73.84,71.43,1,0.058,0,12,87,24.74,7
Yes,Moderate,36.356571,78.523761,Local Authority,306.23,13.7,89.76,14.26,88.81,85.87,0,0.117,14,3,102,44.59,5
No,Extreme,14.859929,69.068904,NGO Report,61.72,3.9,91.71,32.94,22.09,99.9,1,0.129,1,10,80,34.65,9
No,Severe,22.750823,74.420006,NGO Report,437.07,8.92,26.56,27.77,37.94,48.21,1,0.351,13,4,55,0.72,1
No,Moderate,16.340646,71.942556,NGO Report,350.04,8.34,143.99,14.59,92.95,36.99,1,0.654,18,11,72,2.72,1
No,High,15.809405,77.36813,IMD,394.43,7.93,59.56,29.43,99.6,66.3,1,0.005,19,5,82,11.07,6
Yes,Moderate,13.740745,81.163626,Citizen Report,465.83,13.13,77.86,12.47,38.26,83.02,0,0.634,3,7,197,39.93,1
Yes,Low,23.915771,89.296083,NGO Report,496.3,14.19,122.53,15.68,47.45,21.31,0,0.115,15,6,13,37.13,0
No,Low,16.951262,77.380343,NGO Report,492.49,0.26,136.96,26.97,81.3,11.59,1,0.76,15,3,21,1.7,3
No,Extreme,27.04417,84.816162,IMD,316.77,7.1,147.59,11.81,84.91,18.6,1,0.7,10,13,129,11.62,7
Yes,Moderate,21.775187,71.677187,Citizen Report,183.11,14.77,28.86,23.2,28.93,65.27,0,0.216,6,7,167,25.01,0
Yes,Extreme,23.917862,95.045565,Satellite,130.46,12.3,103.22,32.52,67.74,74.96,1,0.585,8,15,52,37.73,6
Yes,High,23.249295,92.765211,Citizen Report,8.79,13.2,70.43,32.83,65.91,47.8,1,0.272,15,15,103,20.48,6
No,High,25.566795,81.503942,NGO Report,371.41,13.46,52.53,41.81,37.04,68.22,0,0.28,3,9,177,1.35,7
